article	unit_type	is_adct	confidence	pt	nhe
8	caput_roman	False	0.9	III – ao sindicato cabe a defesa dos direitos e interesses coletivos ou individuais da categoria, inclusive em questões judiciais ou administrativas;.	VI - sῖdikaátu-ita tarikuté tayumuatiri mairamẽ takũtari muraákí resé;.
8	caput_roman	False	0.9	IV – a assembleia geral fixará a contribuição que, em se tratando de categoria profissional, será descontada em folha, para custeio do sistema confederativo da representação sindical respectiva, independentemente da contribuição prevista em lei;.	VII - apusentadu urikú direitu uparawaáka asui taparawaáka aé umukaáturu arã sῖdikaátu;        VIII- ũbá upuderi usẽmu kuá yumuapikawá sῖdikaátu arã u muyakũtasá arã sῖdikaátu asui taparawaáka ramẽ tarumuaára ramẽ aé yepé akayu umũdúsá upawá runde ayũté umuyãa ramẽ turusú puxuwera mayê ũbeu suãtisá upé.
9	caput	False	1.0	Art. 9o É assegurado o direito de greve, competindo aos trabalhadores decidir sobre a oportunidade de exercê-lo e sobre os interesses que devam por meio dele defender.	Art. 9º yupitásúka direitu pitusá resé aápe upurákisá-ita tarikuté taparawaáka tamaã maῖta tarikuté tapuraki asui maãnũgára resé tarikuté tapitasúka;
10	caput	False	1.0	É assegurada a participação dos trabalhadores e empregadores nos colegiados dos órgãos públicos em que seus interesses profissionais ou previdenciários sejam objeto de discussão e deliberação.	Yupitásúka purákisá-ita asui umuyãsáita muraákí tasúpé tawike arã yũbesá ruka tarupí mamẽ tareséwaára u taikúsa upé uyupurunkita asui yumusãi;.
11	caput	False	0.8	Nas empresas de mais de duzentos empregados, é assegurada a eleição de um representante destes com a finalidade exclusiva de promover-lhes o entendimento direto com os empregadores.	Muraákí ruka upé usasá ramẽ duentu puraki waitá tarikuté taparawaáka yepé tasúiwaára ukuntai arã tarupí satãbika muraákí yaára tairũ;                                    ŨBEUSAÁRA III                              MAMẼWAÁRA RESEWAÁRA.
12	caput_roman	False	1.0	natos:    a) os nascidos na República Federativa do Brasil, ainda que de pais estrangeiros, desde que estes não estejam a serviço de seu país;    b) os nascidos no estrangeiro, de pai brasileiro ou mãe brasileira, desde que qualquer deles esteja a serviço da República Federativa do Brasil;    c) os nascidos no estrangeiro de pai brasileiro ou de mãe brasileira, desde que sejam registrados em repartição brasileira competente ou venham a residir na República Federativa do Brasil e optem, em qualquer tempo, depois de atingida a maioridade, pela nacionalidade brasileira;.	retéwa-ita:       a) unaseriwa-ita braziu upé asui aãmu tetãma suiwaárawa-ita yuiri tiramẽ tamũyã taikú muraákí taretama supéarã;       b) unaseriwa-ita aãmu tetãma upé mã aῖtá paya u ta mãya braziupura tapuraki ramẽ braziu rupí;       c) unaseriwa-ita aãmu tetãma upé tarikú ramẽ tarera braziu upé u taikú ramẽ braziu upé asui taparawaáka ramẽ taikú aárama braziu upé tamusasá ramẽ musapipu musapiri akayu;.
12	caput_roman	False	1.0	II – naturalizados:    a) os que, na forma da lei, adquiram a nacionalidade brasileira, exigidas aos originários de países de língua portuguesa apenas residência por um ano ininterrupto e idoneidade moral;    b) os estrangeiros de qualquer nacionalidade residentes na República Federativa do Brasil há mais de quinze anos ininterruptos e sem condenação penal, desde que requeiram a nacionalidade brasileira.	II – ikewárawãnawa-ita:  “Mundu sa Turusu” waá, ũbêuwa mayé míra itá uikú arãma purãga iké braziu upé      39        a) awá-ita suãtisá rupí tapisika ramẽ taikuarã braziu upé, uyupurãduwa kuá-itá tetãma waáraita rupi, ainta tarikutê taiku ike braziu upé yepé akayu pura;       b) payẽ mayêwa suiwaára-ita uikúwa-ita braziu upé usasá kinze akayu ũbá yamã muapatukasá taputari ramẽ suúpiwa braziu purãaῖtá.
14	paragrafo_unico	False	1.0	Para concorrerem a outros cargos, o Presidente da República, os Governadores de Estado e do Distrito Federal e os Prefeitos devem renunciar aos respectivos mandatos até seis meses antes do pleito.	Taputari ramẽ aãmũ muraákí prezidẽti guvernadur tetãma miri yaára asui distitu fedral asui prefeito tarikuté taxari taãmuraákí pu yepé yaási rẽderê;
14	paragrafo_unico	False	1.0	Serão realizadas concomitantemente às eleições municipais as consultas populares sobre questões locais aprovadas pelas Câmaras Municipais e encaminhadas à Justiça Eleitoral até 90 (noventa) dias antes da data das eleições, observados os limites operacionais relativos ao número de quesitos.	yumuyã aáramẽte parawaákasá purãdusá miíra-itá asui mamẽarã yumuyã usasáwa kãmaára tẽdawayaára waá rupí asui urikútê usika justisa eleyturau upé nuvẽta aára parawaákasá rũderê aápe yumiakũta usiíkasá purãdusá seésé;
15	caput_roman	False	1.0	cancelamento da naturalização por sentença transitada em julgado	Tãbáwa uikusá resé uikúwa muyakũtasá upé
15	caput_roman	False	1.0	condenação criminal transitada em julgado, enquanto durarem seus efeitos	usú upitá upurará urikú pukusá uikú ipuxuwerasá
15	caput_roman	False	0.9	recusa de cumprir obrigação a todos imposta ou prestação alternativa, nos termos do art. 5o, VIII;.	ũbawa uputai umuyã mayê tãbeuwa u mãnũgarãtu ũbeuwa art. 5º VIII
16	caput	False	0.8	A lei que alterar o processo eleitoral entrará em vigor na data de sua publicação, não se aplicando à eleição que ocorra até um ano da data de sua vigência.	Suãtisá umutirikawá parawaákasá resé uwiké kuri papéra upé yã aára mairamẽ tãbeu seésé aápe ũbá tamũyã parawaákasá yepé akayu yã aára riré;                                      ŨBEUSAÁRA V                                 PARTIDU PULITIKU-ITÁ.
17	caput_roman	False	1.0	proibição de recebimento de recursos financeiros de entidade ou governo estrangeiros ou de subordinação a estes;.	ũbá upuderi upisika sikuyaára ẽtidadi ta súi u guvernu-ita sui, aãmu tetãma suiwaára u aãmuita rupí;.
17	caput_roman	False	1.0	III – prestação de contas à Justiça Eleitoral;.	III – ũbeu maã umuyã justisa eleyturau supé;.
17	caput_roman	False	1.0	IV – funcionamento parlamentar de acordo com a lei.	IV – parlamẽtu urikútê yupraki mayê ũbeu kuá suãtisá.
17	paragrafo_unico	False	0.8	Os Deputados Federais, os Deputados Estaduais, os Deputados Distritais e os Vereadores que se desligarem do partido pelo qual tenham sido eleitos perderão o mandato, salvo nos casos de anuência do partido ou de outras hipóteses de justa causa estabelecidas em lei, não computada, em qualquer caso, a migração de partido para fins de distribuição de recursos do fundo partidário ou de outros fundos públicos e de acesso gratuito ao rádio e à televisão.	deputadu federau deputadu istaduau deputadu didtritau asui veriadú-ita tayuyuúka ramẽ partidu sui marupí taparawaákawá, aῖtá tasú taáperderi taãmuraákí ayũté mairamẽ partidu umuyã papéra aãmũ nũgaára rupí suãtisá ũbeuwa yawé ũbá yũpinima mayê ramẽ partidu usẽmu usú arã umuyã muraákí u miíra-itá supé arã asui uwiké iwasúima radiu asui televisãu upé;
18	caput	False	1.0	A organização político-administrativa da República Federativa do Brasil compreende a União, os Estados, o Distrito Federal e os Municípios, todos autônomos, nos termos desta Constituição.	Yumuatirisá pulitiku-muyãsá ũbeuwa mamẽ yaikuwa braziu pe purãga ukuáwá Uniãu tetãmama mirita distritu federau asui TETÃMA-ITA payẽ autunumuita mayê ũbeu kuá mũdusáwa turusúwa.
19	caput_roman	False	0.9	estabelecer cultos religiosos ou igrejas, subvencioná-los, embaraçar-lhes o funcionamento ou manter com eles ou seus representantes relações de dependência ou aliança, ressalvada, na forma da lei, a colaboração de interesse público;.	taãmũyã kutu religiuzu u tupauku-ita, tapurũgitá tarupí taãmuapatuka aῖtá taikú tairũ u tapita tayawé u tayumuapika ayũté suãtisá rupí tapuderi tameẽ maã payẽ supé;.
19	caput_roman	False	0.9	II – recusar fé aos documentos públicos;.	II – taxari ruyaisá dukumẽtu rupí;.
19	caput_roman	False	0.9	III – criar distinções entre brasileiros ou preferências entre si.	III – mukiriai aãmurupisá-itá braziupúra-irá tairũ u aῖtá pawáte;                                      ŨBEUSAÁRA II                                    UNIÃU RESEWAÁRA.
20	caput_roman	False	1.0	os que atualmente lhe pertencem e os que lhe vierem a ser atribuídos	mãnũgá iyaára waáte uyí aára asui mãita uikúarã waitá
20	caput_roman	False	1.0	as terras devolutas indispensáveis à defesa das fronteiras, das fortificações e construções militares, das vias federais de comunicação e à preservação ambiental, definidas em lei;.	iwí ũbawa awá uikú aápe frũtêra muyakũta kirῖbawasá tasúi asui suraára tasúi peé federau purũgitasá rupiá asui mukaáturusá iwí mayê ũbeu suãtisá;.
20	caput_roman	False	1.0	III – os lagos, rios e quaisquer correntes de água em terrenos de seu domínio, ou que banhem mais de um Estado, sirvam de limites com outros países, ou se estendam a território estrangeiro ou dele provenham, bem como os terrenos marginais e as praias fluviais;.	III - ipáwaitá paáraranã asui mayêwãtu gárapé uikúwa muyakũtasá upé usasáwa aãmũ istadu tapitera rupí umuyãwa siíkasá aãmũ tetãma irũ u usasáwa aãmũ tetãma kití u uúriwa asuí mayê yuiri uikúwa paranã rῖbiwa rupí asui praya-ita;  44                “Mundu sa Turusu” waá, ũbêuwa mayé míra itá uikú arãma purãga iké braziu upé.
20	caput_roman	False	1.0	IV – as ilhas fluviais e lacustres nas zonas limítrofes com outros países; as praias marítimas; as ilhas oceânicas e as costeiras, excluídas, destas, as que contenham a sede de Municípios, exceto aquelas áreas afetadas ao serviço público e a unidade ambiental federal, e as referidas no art. 26, II;.	IV – kaápuãmu paranãpura-ita u ipawá-ita umuyãwa siíkasá aãmũ tetãma irũ; praya-itá paranã rῖbiwa rupí; kapuã oseanu rupíwa asui simbiwa turusúsá usẽmu, kuá sui mamẽ aikuéwa Tetãma u mamẽ aikuéwa miíra-itá muraákí asui mamẽ aikuéwa federau-ita mayê ũbeu art.26, II upé;.
20	caput_roman	False	1.0	V – os recursos naturais da plataforma continental e da zona econômica exclusiva;.	V - maã aikuéwa iwaté piíriwa kuntinenti upé asui usaisúwa ayũté ixupé;.
20	caput_roman	False	1.0	VII – os terrenos de marinha e seus acrescidos;.	VII – mariyã iwí-ita asui aãmu-ita xῖga;.
20	caput_roman	False	1.0	VIII – os potenciais de energia hidráulica;.	VIII – kirῖbasá musẽdisá paranã upéwa;.
20	caput_roman	False	1.0	IX – os recursos minerais, inclusive os do subsolo;.	IX – itásẽdíwa-itá asui uikú waitá iwí wira kití;.
20	caput_roman	False	1.0	X – as cavidades naturais subterrâneas e os sítios arqueológicos e pré-históricos;.	X – uikú waitá iwí wira upé asui tẽdá purãgawa-itá asui kuximawárawa-ita;.
20	caput_roman	False	1.0	XI – as terras tradicionalmente ocupadas pelos índios.  24                                                       Constituição da República Federativa do Brasil.	XI – iwí mamẽ indiu-ita taikú kuxima suiwaára.
21	caput_roman	False	0.9	manter relações com Estados estrangeiros e participar de organizações internacionais;.	yumuãnãma aãmũ tetãma-ita irũ asui tamã mãita tayumukaáturusá
22	caput_roman	False	0.9	direito civil, comercial, penal, processual, eleitoral, agrário, marítimo, aeronáutico, espacial e do trabalho;.	miírãtuwa direitu piripana rupiá usúsá parawaáka muraákí paranã yaára iwaate rupí waitá iwatéwa uikú asui muraákí supé;.
22	caput_roman	False	0.9	III – requisições civis e militares, em caso de iminente perigo e em tempo de guerra;.	III – pinimasa miíra-itá yaára asui suraáraita mairamẽ yawáite uikú asui aikué uikú maáramũyasa;.
22	caput_roman	False	0.9	IV – águas, energia, informática, telecomunicações e radiodifusão;.	IV – ií mundisá infurmatika Purũgitásá rupiá asui radio tiapusaita;.
22	caput_roman	False	0.9	VI – sistema monetário e de medidas, títulos e garantias dos metais;.	VI – irupíwa yamã pusesá asui ipukusá Sesewára-ita asui sãaTetãma pitasúkasa;.
22	caput_roman	False	0.9	VII – política de crédito, câmbio, seguros e transferência de valores;.	VII – irupí arã piripã trukai pitasúkasa asui musasá sikuyaára;.
22	caput_roman	False	0.9	VIII – comércio exterior e interestadual;.	VIII – watasá asui wata rupiá;.
22	caput_roman	False	0.9	IX – diretrizes da política nacional de transportes;.	IX – papéra watasá rupiá resé payẽ;.
22	caput_roman	False	0.9	X – regime dos portos, navegação lacustre, fluvial, marítima, aérea e aeroespacial;.	X – papéra garapá taresé watasá ipawáita rupí paáranã paranãwasú iwaté rupí asui taikúwa iwaté kití;.
22	caput_roman	False	0.9	XII – jazidas, minas, outros recursos minerais e metalurgia;.	XIII – uikúsá miírasá asui mamẽwaára;.
22	caput_roman	False	0.9	XV – emigração e imigração, entrada, extradição e expulsão de estrangeiros;.	XVI – yumuyã purãga mayê arã wasemu muraákí asui mamẽ arã tapuraki;.
22	caput_roman	False	0.9	XVI – organização do sistema nacional de emprego e condições para o exercício de profissões;.	XVII – judisiaria tayumukaáturu iministeriu publiku distritu federau yaára asui tetãma irita asui defensuria publika tetãma miri tayaára asui taãmukaáturu tamũyãsaita;.
22	caput_roman	False	0.9	XVII – organização judiciária, do Ministério Público do Distrito Federal e dos Territórios e da Defensoria Pública dos Territórios, bem como organização administrativa destes;.	XVIII – mayê usú papéra rupí sãgawá rupí asui iwí turusúsá payẽ;.
22	caput_roman	False	0.9	XVIII – sistema estatístico, sistema cartográfico e de geologia nacionais;.	XIX – mayê arã taãmukaáturu kapitasãu asui pitasúkawá payẽ mukaáturusá resé;.
22	caput_roman	False	0.9	XIX – sistemas de poupança, captação e garantia da poupança popular;.	XX – mayê arã kunsursiu asui umã arã awá;        XXI– papéra yumukaáturusá resé payẽ rete waitá maáramũya rupiá ita pitasúkasá senuisá mukitasá muraákí wasú asui sikuyaára pulisia tasúi asui bũbeuiru tasúi;.
22	caput_roman	False	0.9	XX – sistemas de consórcios e sorteios;.	XXII – kirῖbawasá pulisia federau asui pulisia peé wasú rupí waitá asui peé wasú federau ita;.
22	caput_roman	False	0.9	XXI – normas gerais de organização, efetivos, material bélico, garantias, convocação, mobilização, inatividades e pensões das polícias militares e dos corpos de bombeiros militares;.	XXIII – payẽ timaãresésá arã;.
22	caput_roman	False	0.9	XXII – competência da polícia federal e das polícias rodoviária e ferroviária federais;.	XXIV – papera yũbuesáreséwaára payẽ;.
22	caput_roman	False	0.9	XXIV – diretrizes e bases da educação nacional;.	XXVI – mayêwãtu muraákí upukawa-ita;.
22	caput_roman	False	0.9	XXVI – atividades nucleares de qualquer natureza;.	XXVIII – tetãma miri suãtisá uwatáwa iwaté rupí suãtisá paranã rupíwa suãtisá miíra-itá suãtisá asui um,kitasá payẽ;.
22	caput_roman	False	0.9	XXVII – normas gerais de licitação e contratação, em todas as modalidades, para as administrações públicas diretas, autárquicas e fundacionais da União, Estados, Distrito Federal e Municípios, obedecido o disposto no art. 37, XXI, e para as empresas públicas e sociedades de economia mista, nos termos do art. 173, § 1o, III;.	XXIX – piripanasá reséwa ũbeuwa;.
22	caput_roman	False	0.9	XXVIII – defesa territorial, defesa aeroespacial, defesa marítima, defesa civil e mobilização nacional;.	XXX – mukaáturusá asui umaãsá miírasá resewára.
23	caput_roman	False	1.0	zelar pela guarda da Constituição, das leis e das instituições democráticas e conservar o patrimônio público;.	tamuyakũta kaátuwa kuá kunstitisãu suãtisáita asui ukapi wasúita asui umukaáturu maã payẽ awá yaára;.
23	caput_roman	False	1.0	II – cuidar da saúde e assistência pública, da proteção e garantia das pessoas portadoras de deficiência;.	II - muyakũta saudi resé asui maã payẽ resé suãti asui maã kaátuwa mtiri taresé;.
23	caput_roman	False	1.0	III – proteger os documentos, as obras e outros bens de valor histórico, artístico e cultural, os monumentos, as paisagens naturais notáveis e os sítios arqueológicos;.	III – muyakũta dukumentu muraákí ita asui aãmuita sipiwasú wa kuximawáraita kuásá asui kitíwaára sesewára waitá sãgawá retéwa-itá asui tẽdá kaápuã resé waitá;.
23	caput_roman	False	1.0	IV – impedir a evasão, a destruição e a descaracterização de obras de arte e de outros bens de valor histórico, artístico ou cultural;.	IV – tasaisú tawike taãmukurui asui tamaiwa muraákí yusiki waitá asui aãmuita sipiwasú waitá kuxima waára waitá kuása´tá asui kitíwaára;.
23	caput_roman	False	1.0	V – proporcionar os meios de acesso à cultura, à educação, à ciência, à tecnologia, à pesquisa e à inovação;.	V - yumuturusú kitíwaára reséwaára yũbuesá siensia teknulugia sikaisá asui pisasusá;.
23	caput_roman	False	1.0	VI – proteger o meio ambiente e combater a poluição em qualquer de suas formas;.	VI - suãti mamẽ yaiku yasuãti kiyasá mayê iturusúsá;.
23	caput_roman	False	1.0	VII – preservar as florestas, a fauna e a flora;.	VII – yaãmukaáturu iwí suu ita asu wiraita;.
23	caput_roman	False	1.0	VIII – fomentar a produção agropecuária e organizar o abastecimento alimentar;.	VIII – mukirῖbá yumusiíya arã muraákí asui maῖta aikué arã timbiu;.
23	caput_roman	False	1.0	IX – promover programas de construção de moradias e a melhoria das condições habitacionais e de saneamento básico;.	IX – tamãduai maῖta tamũyã arã ukaita asui purãga piri arã taikúsá asui tarimbiu resé;.
